model,split,metric,point,ci_low,ci_high,n,bootstrap_replicates,seed
AIN 7B,handwritten,cer,0.07021532560406538,0.06334989965503661,0.07779828337535376,919,10000,20260915
AIN 7B,handwritten,wer,0.25013080550521977,0.23542737325925683,0.26514807220899284,919,10000,20260915
AIN 7B,handwritten,exact_match,0.19368879216539717,0.16863438520130578,0.21871599564744287,919,10000,20260915
AIN 7B,handwritten,micro_cer,0.07274909533875533,0.0654966837883469,0.08085884994232495,919,10000,20260915
AIN 7B,handwritten,micro_wer,0.2543912780133253,0.2399503621112468,0.2692272803630472,919,10000,20260915
AIN 7B,printed,cer,0.007748051898946035,0.007366908117165474,0.008153596094096622,11392,10000,20260915
AIN 7B,printed,wer,0.04451673786946254,0.04271016341489662,0.046368316597740836,11392,10000,20260915
AIN 7B,printed,exact_match,0.726123595505618,0.7179599719101124,0.7342872191011236,11392,10000,20260915
AIN 7B,printed,micro_cer,0.007403661488459834,0.007124113034862266,0.007685265971253223,11392,10000,20260915
AIN 7B,printed,micro_wer,0.04471046770601336,0.04301484855135702,0.04643758035222147,11392,10000,20260915
EasyOCR,handwritten,cer,0.49130778984044354,0.48223907019769563,0.5005146640376229,919,10000,20260915
EasyOCR,handwritten,wer,1.1228862038485672,1.1073203486256347,1.138869288060057,919,10000,20260915
EasyOCR,handwritten,exact_match,0.0,0.0,0.0,919,10000,20260915
EasyOCR,handwritten,micro_cer,0.48552542008527105,0.47668657256251445,0.49459645947420555,919,10000,20260915
EasyOCR,handwritten,micro_wer,1.1007470220068645,1.0869077364194752,1.1151877655363627,919,10000,20260915
EasyOCR,printed,cer,0.09431048736036693,0.09245929606225903,0.09619319543092145,11392,10000,20260915
EasyOCR,printed,wer,0.3779742601038757,0.3728392396848651,0.38313761891072184,11392,10000,20260915
EasyOCR,printed,exact_match,0.060393258426966294,0.056091994382022475,0.064696716994382,11392,10000,20260915
EasyOCR,printed,micro_cer,0.08840216143732173,0.08673576100970509,0.09008343787987788,11392,10000,20260915
EasyOCR,printed,micro_wer,0.36084155265669743,0.3562524216818674,0.36547923137625415,11392,10000,20260915
GPT-5.4 mini,handwritten,cer,0.3389162318719041,0.32825896677493577,0.34980690271125375,919,10000,20260915
GPT-5.4 mini,handwritten,wer,0.754133203636298,0.7373946150690712,0.7709782073408069,919,10000,20260915
GPT-5.4 mini,handwritten,exact_match,0.006528835690968444,0.002176278563656148,0.011969532100108813,919,10000,20260915
GPT-5.4 mini,handwritten,micro_cer,0.3365518971015012,0.3258965728331775,0.3474622689904849,919,10000,20260915
GPT-5.4 mini,handwritten,micro_wer,0.7452049263072885,0.7295225039458438,0.761112986133987,919,10000,20260915
GPT-5.4 mini,printed,cer,0.10016681257451737,0.09812638069175965,0.10223581975240416,11392,10000,20260915
GPT-5.4 mini,printed,wer,0.31352610113677043,0.3088726102990468,0.3181251166516925,11392,10000,20260915
GPT-5.4 mini,printed,exact_match,0.1094627808988764,0.10384480337078651,0.1153441011235955,11392,10000,20260915
GPT-5.4 mini,printed,micro_cer,0.09787265474959374,0.09584649702418234,0.09990831992114349,11392,10000,20260915
GPT-5.4 mini,printed,micro_wer,0.3027362392618517,0.2983582154760766,0.30715397243616577,11392,10000,20260915
Gemini Flash,handwritten,cer,0.31181606821327523,0.17252252497918935,0.5811429354501905,919,10000,20260915
Gemini Flash,handwritten,wer,0.46425505612078344,0.4447539502260065,0.48359389010568554,919,10000,20260915
Gemini Flash,handwritten,exact_match,0.055495103373231776,0.041349292709466814,0.07072905331882481,919,10000,20260915
Gemini Flash,handwritten,micro_cer,0.33003117045797364,0.17219429230940872,0.6378462749697488,919,10000,20260915
Gemini Flash,handwritten,micro_wer,0.45739955584776903,0.43861240473753305,0.47599000080041476,919,10000,20260915
Gemini Pro,handwritten,cer,0.6021818379947698,0.5891178184757739,0.6148555887807584,919,10000,20260915
Gemini Pro,handwritten,wer,0.7408784323108094,0.7268383582959985,0.7545200537533314,919,10000,20260915
Gemini Pro,handwritten,exact_match,0.01958650707290533,0.01088139281828074,0.029379760609358,919,10000,20260915
Gemini Pro,handwritten,micro_cer,0.6421303428755688,0.6328406968212158,0.6512247074104253,919,10000,20260915
Gemini Pro,handwritten,micro_wer,0.7608520088835049,0.7502552014940272,0.7711679906964893,919,10000,20260915
Gemini Pro,printed,cer,0.6611980842018251,0.656818226797974,0.6655315123727866,11392,10000,20260915
Gemini Pro,printed,wer,0.7090205342069591,0.704717742808499,0.7131508076747484,11392,10000,20260915
Gemini Pro,printed,exact_match,0.035990168539325844,0.03256671348314607,0.03941362359550562,11392,10000,20260915
Gemini Pro,printed,micro_cer,0.7027242405991113,0.699256020813754,0.7061668097187385,11392,10000,20260915
Gemini Pro,printed,micro_wer,0.7393175310213173,0.7358984406875582,0.7426724259778257,11392,10000,20260915
Gemma-3-27B,handwritten,cer,0.8789222990539495,0.7564948620146141,1.036331372536644,919,10000,20260915
Gemma-3-27B,handwritten,wer,1.2540888728835313,1.1040498159274257,1.4527956955115968,919,10000,20260915
Gemma-3-27B,handwritten,exact_match,0.003264417845484222,0.0,0.007616974972796518,919,10000,20260915
Gemma-3-27B,handwritten,micro_cer,0.9397191071620508,0.7959235692129397,1.116941153170103,919,10000,20260915
Gemma-3-27B,handwritten,micro_wer,1.3008277811427418,1.126773997584919,1.531174914415205,919,10000,20260915
Gemma-3-27B,printed,cer,0.6130113914994353,0.6049517786771563,0.6212525826575039,11392,10000,20260915
Gemma-3-27B,printed,wer,0.8876246051492708,0.8799615829546094,0.8958696240669386,11392,10000,20260915
Gemma-3-27B,printed,exact_match,0.03353230337078652,0.03028441011235955,0.03686797752808989,11392,10000,20260915
Gemma-3-27B,printed,micro_cer,0.6755755878041297,0.6673502804154884,0.6842167514154134,11392,10000,20260915
Gemma-3-27B,printed,micro_wer,0.9340359529112313,0.9261711306767799,0.9425157744504394,11392,10000,20260915
Qari-OCR v0.3,handwritten,cer,0.6781291636548321,0.6401169756038789,0.7255420186334107,919,10000,20260915
Qari-OCR v0.3,handwritten,wer,1.1443725818783512,1.0693189075533867,1.2556081744158376,919,10000,20260915
Qari-OCR v0.3,handwritten,exact_match,0.003264417845484222,0.0,0.007616974972796518,919,10000,20260915
Qari-OCR v0.3,handwritten,micro_cer,0.664934971874888,0.6385860859293864,0.6935988330017906,919,10000,20260915
Qari-OCR v0.3,handwritten,micro_wer,1.0708661417322836,1.0361633285359528,1.1121209672930847,919,10000,20260915
Qari-OCR v0.3,printed,cer,0.092535472238802,0.08496262404765192,0.1007721024016615,11392,10000,20260915
Qari-OCR v0.3,printed,wer,0.19786555566673417,0.1893876169770297,0.20673097694298853,11392,10000,20260915
Qari-OCR v0.3,printed,exact_match,0.37807233146067415,0.3692942415730337,0.386938202247191,11392,10000,20260915
Qari-OCR v0.3,printed,micro_cer,0.08907547984590383,0.08283758443449299,0.09553976165127041,11392,10000,20260915
Qari-OCR v0.3,printed,micro_wer,0.1849586382437162,0.17840839467222658,0.19138624842159072,11392,10000,20260915
Qwen2.5-VL-72B,handwritten,cer,0.37997717982708107,0.3583538090268439,0.40335067720310924,919,10000,20260915
Qwen2.5-VL-72B,handwritten,wer,0.6871614061952531,0.665167373731413,0.7097493806350245,919,10000,20260915
Qwen2.5-VL-72B,handwritten,exact_match,0.014145810663764961,0.006528835690968444,0.02176278563656148,919,10000,20260915
Qwen2.5-VL-72B,handwritten,micro_cer,0.36664755831034357,0.3458411249236412,0.3888733958762286,919,10000,20260915
Qwen2.5-VL-72B,handwritten,micro_wer,0.6696951342620634,0.6484592341209988,0.6908047054541356,919,10000,20260915
Qwen3-VL-32B,handwritten,cer,0.5760409729443727,0.5479729244544611,0.6062702983311195,919,10000,20260915
Qwen3-VL-32B,handwritten,wer,0.8208348491579271,0.7981777404649016,0.844720240639032,919,10000,20260915
Qwen3-VL-32B,handwritten,exact_match,0.009793253536452665,0.004352557127312296,0.01632208922742111,919,10000,20260915
Qwen3-VL-32B,handwritten,micro_cer,0.5674823546272079,0.5387846755072782,0.5993953235371748,919,10000,20260915
Qwen3-VL-32B,handwritten,micro_wer,0.8127397536846356,0.7904607651483392,0.8359024982675629,919,10000,20260915
Qwen3-VL-32B,printed,cer,0.0470445511783458,0.045180443730211246,0.048962597057330845,11392,10000,20260915
Qwen3-VL-32B,printed,wer,0.17536704061441544,0.17154348551343987,0.17926276674209193,11392,10000,20260915
Qwen3-VL-32B,printed,exact_match,0.3225948033707865,0.3141678370786517,0.33137289325842695,11392,10000,20260915
Qwen3-VL-32B,printed,micro_cer,0.04463646487948453,0.042857876063962866,0.04647274267242278,11392,10000,20260915
Qwen3-VL-32B,printed,micro_wer,0.16872414890232262,0.16503899152642984,0.17249145749016598,11392,10000,20260915
Qwen3-VL-8B,handwritten,cer,0.4787669553174906,0.45806949375691197,0.5001206089814264,919,10000,20260915
Qwen3-VL-8B,handwritten,wer,0.7566540717549519,0.7369908108692662,0.776458787318452,919,10000,20260915
Qwen3-VL-8B,handwritten,exact_match,0.007616974972796518,0.002176278563656148,0.014145810663764961,919,10000,20260915
Qwen3-VL-8B,handwritten,micro_cer,0.4804199061301996,0.45871999400798774,0.5024248410886555,919,10000,20260915
Qwen3-VL-8B,handwritten,micro_wer,0.7555017161316374,0.7356217700542796,0.7755642231704024,919,10000,20260915
Qwen3-VL-8B,printed,cer,0.04522493792224526,0.04344045314143343,0.0470710190824065,11392,10000,20260915
Qwen3-VL-8B,printed,wer,0.16670003350105841,0.16290401983452849,0.17053864717058367,11392,10000,20260915
Qwen3-VL-8B,printed,exact_match,0.33067064606741575,0.3220681179775281,0.33927317415730335,11392,10000,20260915
Qwen3-VL-8B,printed,micro_cer,0.040678943600350015,0.0392118658337157,0.04221722084020076,11392,10000,20260915
Qwen3-VL-8B,printed,micro_wer,0.15635539293668468,0.1530309620381827,0.15973780709738192,11392,10000,20260915
