model,attempts,coverage,valid_output_rate,empty_output_rate,format_violation_rate,generative_violation_rate,provider_api_failure_rate,refusal_rate,all_attempt_cer,all_attempt_wer,all_attempt_em,conditional_valid_cer,conditional_valid_wer,conditional_valid_em
AIN 7B,919,1.0,0.9782372143634385,0.0,0.0,0.020674646354733407,0.0,0.001088139281828074,0.07021532560406538,0.25013080550521977,0.19368879216539717,0.07067243808739541,0.2491689899799874,0.19243604004449388
EasyOCR,919,1.0,0.9934711643090316,0.001088139281828074,0.002176278563656148,0.003264417845484222,0.0,0.0,0.49130778984044354,1.1228862038485672,0.0,0.48992761046772176,1.1218793600002928,0.0
GPT-5.4 mini,919,1.0,0.984766050054407,0.0,0.002176278563656148,0.011969532100108813,0.0,0.001088139281828074,0.3389162318719041,0.754133203636298,0.006528835690968444,0.33840538915928026,0.7529110469644654,0.0066298342541436465
Gemini Flash,919,0.998911860718172,0.9717083786724701,0.002176278563656148,0.0,0.023939064200217627,0.001088139281828074,0.001088139281828074,0.31181606821327523,0.46425505612078344,0.055495103373231776,0.17607800467973123,0.4592594335173572,0.05711086226203808
Gemini Pro,919,1.0,0.9662676822633297,0.009793253536452665,0.0,0.023939064200217627,0.0,0.0,0.6021818379947698,0.7408784323108094,0.01958650707290533,0.5913907290751094,0.7318325217270651,0.02027027027027027
Gemma-3-27B,919,1.0,0.8966267682263329,0.0,0.0,0.10337323177366703,0.0,0.0,0.8789222990539495,1.2540888728835313,0.003264417845484222,0.6798854964836742,1.0494358881414023,0.0036407766990291263
Qari-OCR v0.3,919,0.9934711643090316,0.8618063112078346,0.0,0.0,0.13166485310119697,0.006528835690968444,0.0,0.6781291636548321,1.1443725818783512,0.003264417845484222,0.5575484699279212,0.9906415713603302,0.003787878787878788
Qwen2.5-VL-72B,919,1.0,0.9782372143634385,0.0,0.0,0.021762785636561477,0.0,0.0,0.37997717982708107,0.6871614061952531,0.014145810663764961,0.3723245815866263,0.6846035286714989,0.014460511679644048
Qwen3-VL-32B,919,1.0,0.9738846572361263,0.0,0.0,0.026115342763873776,0.0,0.0,0.5760409729443727,0.8208348491579271,0.009793253536452665,0.5439939336198215,0.8035922007753389,0.01005586592178771
Qwen3-VL-8B,919,1.0,0.9760609357997824,0.0,0.0,0.023939064200217627,0.0,0.0,0.4787669553174906,0.7566540717549519,0.007616974972796518,0.4705803385252303,0.7493025756991297,0.007803790412486065
