access_group,model,font,rows,empty_predictions,exact_match_rate,hallucination_rate,cer,wer,micro_cer,micro_wer,char_fscore,total_cost_usd,avg_latency_sec
closed,Gemini Pro,Akbaar,1424,12,0.06601123595505617,0.009129213483146067,0.5390627035437517,0.583209636718526,0.5915997136266009,0.6277441934457525,0.605532416454223,7.817581999999998,5.2526038829865085
closed,Gemini Pro,Andalus,1424,2,0.04564606741573034,0.0056179775280898875,0.5696944829238075,0.6464638988192438,0.619202927372524,0.6804963410754057,0.5817968782411148,7.862451999999998,5.255723945210489
closed,Gemini Pro,Naksh,1424,6,0.05337078651685393,0.004213483146067416,0.5440133637994967,0.598661257705317,0.5958384944941305,0.6402163538021,0.6013905921915232,7.782686999999998,5.446670077322574
closed,Gemini Pro,SimplifiedArabic,1424,21,0.021067415730337078,0.014747191011235955,0.7737655056693791,0.802379722886473,0.8055160971396752,0.8238625517021954,0.32785190222549315,7.545944999999999,4.003452729475632
closed,Gemini Pro,Tahoma,1424,39,0.004213483146067416,0.028792134831460675,0.8739393927924193,0.8962207141317738,0.89714422082571,0.910467706013363,0.20619308702610883,7.477791999999999,3.5244508593269948
closed,Gemini Pro,Thuluth,1424,2,0.033707865168539325,0.004213483146067416,0.5722550474032572,0.6605923343379762,0.6205779742491221,0.6917594654788418,0.5785766482417997,7.681060999999999,5.245966462941652
closed,Gemini Pro,TimesNewRoman,1424,37,0.0056179775280898875,0.02598314606741573,0.8720580481378964,0.8943789415455705,0.8964396513517506,0.9085587018771873,0.2094361126411393,7.428394,3.5463960225997346
closed,Gemini Pro,Traditional Arabic,1424,2,0.05828651685393258,0.0035112359550561797,0.544796129344593,0.5902577675107921,0.5954748457333773,0.631434934775692,0.6012522435804237,7.814850999999999,4.766899150074198
closed,GPT-5.4 mini,Akbaar,1424,0,0.1348314606741573,0.0,0.0580960469900227,0.2351587326474521,0.0560398222545487,0.2234807508749602,0.9578993525167564,0.4550569999999997,1.1088801403059048
closed,GPT-5.4 mini,Naksh,1424,0,0.1355337078651685,0.0,0.0566700791340044,0.2349833655094844,0.0542328192656067,0.225771555838371,0.9595106054542336,0.5229635000000001,1.244366835677222
closed,GPT-5.4 mini,Andalus,1424,0,0.0140449438202247,0.0,0.2341493457637862,0.5712758298468352,0.2304099282881203,0.5587018771874006,0.8165686507801612,0.4938000000000003,1.1783497400498122
closed,GPT-5.4 mini,Thuluth,1424,0,0.0161516853932584,0.0007022471910112,0.2073502945384322,0.5529052316243614,0.2047936720800991,0.5434934775692014,0.8391328235886637,0.5608675000000001,1.1846173365464372
closed,GPT-5.4 mini,Traditional Arabic,1424,0,0.1095505617977528,0.0,0.0728353261684609,0.2569623382412035,0.0709845325090066,0.2495704740693604,0.9451639601586804,0.4579400000000013,1.1902993577584793
closed,GPT-5.4 mini,SimplifiedArabic,1424,0,0.1706460674157303,0.0,0.0562531275545643,0.2138830013683519,0.05464195201782,0.2033725739739103,0.9593557976503015,0.4870314999999999,1.4736262713925223
closed,GPT-5.4 mini,Tahoma,1424,0,0.1797752808988764,0.0,0.0518512874267621,0.1954619359170906,0.0506415428850677,0.1852370346802418,0.9626700699651316,0.5403700000000004,1.4193020586887102
closed,GPT-5.4 mini,TimesNewRoman,1424,0,0.1285112359550561,0.0,0.0629868724309145,0.2476422145931126,0.0600515961859735,0.2323258033725739,0.9547124041204708,0.4887565000000005,1.259770867362451
open/general,Qwen 8B,Akbaar,1424,0,0.4037921348314606,0.0,0.0300643913434587,0.1302256623684126,0.0258208225841279,0.1194400254533884,0.9819917355840356,0.4850235000000004,0.8985920208553386
open/general,Qwen 8B,Naksh,1424,0,0.3644662921348314,0.0,0.0281751918681567,0.1316165173257432,0.0255480674159857,0.1250397709195036,0.9818971101287544,0.4903885000000003,1.2887207962991594
open/general,Qwen 8B,Andalus,1424,0,0.1397471910112359,0.0007022471910112,0.0667233302440646,0.232652848708931,0.0576422588673841,0.2176264715240216,0.9552090057645048,0.4862285000000009,0.8120511673117975
open/general,Qwen 8B,Thuluth,1424,0,0.0646067415730337,0.0,0.1230788447523026,0.3793516937495749,0.1187848757259265,0.3688195991091314,0.9155569569648478,0.5032545,0.7977790212949433
